1 ticket id,2 transaction id ,3 tran_date,4 tran_time,5 c_num ,6 name ,7 email ,8 password ,9 c_type ,10 cvv ,11 expiration ,12 section,13 row ,14 seat ,15 listed price ,16 sold price ,17 country1,18 country2,19 game date ,20 game time,21 stadium aid ,22 stadium address,23 city  ,24 province,25 country ,26 billing aid ,27 billing street,28 b_ad2,29 b_city ,30 b_province ,31 country,32,33
0251029751,06dc516b-755d-417a-a0fe-e8cd77b7add4,2022-10-10,9:57:05,3541011271294438,Zechariah Johannes,zjohannes0@google.com,UXg3ep,jcb,163,2026-10-09,16,91,32,197,157,Palestinian Territory,Portugal,2023-06-10,5:17 AM,8703672417,9 Nevada Crossing,Ar Ramāḑīn,,Indonesia,4776609932,85 Nevada Hill,PO Box 89144,Rosmaninhal,Castelo Branco,China,,581-452-3799
8593844677,3098e027-5d26-4416-acb0-3a28a19d9daf,2023-03-24,17:39:04,30389780407780,Alice Chandlar,achandlar1@forbes.com,xIHDHlhrGH9i,diners-club-carte-blanche,453,2026-01-29,11,72,83,256,192,Guam,China,2023-06-09,2:14 PM,2295768802,58930 Crowley Terrace,Asan-Maina Village,,Indonesia,7030558669,612 Sunfield Center,Room 1083,Xi’an,,Canada,96925,734-885-2457
4548286446,015f5c4c-38f2-4334-8e8a-42e447602ee6,2023-04-27,1:33:55,3583390167429590,Margalo Booler,mbooler2@wordpress.com,P4TZGbc09Sn2,jcb,509,2026-07-29,9,91,80,159,172,Norway,Czech Republic,2023-07-24,3:51 PM,6480226569,09 Sherman Drive,Oslo,Oslo,Ukraine,0761804382,24444 Pawling Plaza,Apt 1124,Těšany,,Poland,0162,118-117-9166
8624588294,75d18226-e457-4602-8520-47e23608f9a1,2022-10-29,14:03:36,4618928032932,Maxi Durban,mdurban3@dropbox.com,fuiN7PwsJ6a,visa,440,2027-12-04,8,92,4,181,173,China,Albania,2023-08-02,3:01 PM,9813842911,6 David Avenue,Longhu,,Brazil,5298490530,44877 Gateway Street,Suite 56,Ballsh,,China,,435-106-9792
2166225942,e8144803-f2a1-4afc-b1e6-eb93c7228fde,2023-02-02,3:31:08,560223517508645964,Urson Sellan,usellan4@goodreads.com,wZiXt0Mv2,china-unionpay,541,2027-12-09,9,42,70,357,217,South Korea,Panama,2023-06-12,10:17 AM,9165554515,3232 Portage Avenue,T’aebaek,,Russia,6325279271,25 Eastlawn Crossing,Room 171,Nuevo Emperador,,Egypt,,481-806-5401
5122473080,3246257b-e024-4856-9214-b3aada7c3e89,2023-02-16,22:05:41,3535734296072822,Eugenie Davidoff,edavidoff5@ustream.tv,UCmbKr,jcb,101,2027-06-19,25,26,70,137,242,Philippines,Russia,2023-07-08,1:52 AM,8299170222,340 Cardinal Road,Malibago,,Philippines,1792821697,4 Vernon Junction,Room 1863,Sernovodsk,,China,6213,833-692-6754
0045581894,ff0ae931-5935-40b7-b7df-82f9323fe87e,2023-05-18,15:03:03,3534914681150687,Darwin Scrivener,dscrivener6@imageshack.us,qM9aBIU,jcb,822,2027-09-02,14,82,97,400,275,Czech Republic,Indonesia,2023-08-01,7:25 PM,1405624515,326 Sommers Place,Uherské Hradiště,,Indonesia,9977191360,54243 Vera Plaza,Suite 100,Baun,,Indonesia,686 05,747-697-4260
9916731209,31b51c5d-fa53-4a30-8f80-0d38a583a7e0,2023-03-19,18:42:13,3587809352592777,Chen Domniney,cdomniney7@goo.ne.jp,1lpOELzH,jcb,624,2027-12-12,18,28,40,178,235,Portugal,Kyrgyzstan,2023-06-25,9:23 PM,5657432312,9639 Lighthouse Bay Trail,Santos Evos,Viseu,Croatia,1340835738,46505 Forest Crossing,Apt 1461,Osh,,China,3505-318,503-329-5530
1340705095,63075dcb-4693-44a6-a05b-8c5c214822ca,2023-02-03,17:31:49,3544350645937406,Cammy Flahive,cflahive8@yandex.ru,DDKAbr0HujS,jcb,862,2027-07-08,10,16,82,278,116,Russia,Indonesia,2023-06-13,3:51 AM,6706286923,9 Esch Terrace,Shcherbinka,,Greece,3933096642,005 Northwestern Alley,PO Box 41601,Lueng Putu,,Japan,142720,494-917-2231
1306677114,e2432f04-2850-4bf3-ba5a-72629491f5a6,2022-10-06,3:18:07,3535393037813356,Eugenia Tebbet,etebbet9@mail.ru,ipI0J2qBCBs,jcb,399,2028-01-09,12,42,49,206,129,Canada,Philippines,2023-08-07,7:35 AM,2633233546,692 Mccormick Point,Harrison Brook,New Brunswick,East Timor,3008952399,9790 Johnson Junction,11th Floor,Kalugmanan,,Iran,E7E,939-973-7551
1726497135,093f2d5d-9127-4831-86fb-0ed249813085,2022-11-18,23:33:07,30366937100781,Storm Tracy,stracya@slate.com,LY5NkCHX,diners-club-carte-blanche,575,2026-10-08,10,84,54,173,213,Ireland,Philippines,2023-06-30,11:26 PM,8154855410,82 Clemons Lane,Foxrock,,Indonesia,6054576410,98419 Hallows Parkway,PO Box 89879,Mamburao,,China,D04,898-916-9910
6231170616,bd65811a-ce36-4c9e-b283-6ebcfa492bce,2023-05-26,20:40:06,5474187166105776,Gabrielle McCrystal,gmccrystalb@twitter.com,V4RJlIyoMwQ,diners-club-us-ca,734,2028-02-21,18,16,10,183,269,Colombia,China,2023-08-03,1:18 AM,0135305330,955 North Road,Momil,,Colombia,5432313243,6850 Elka Hill,Room 1435,Miliangju,,Guam,232008,396-680-6592
8874477384,bf61f1cb-8b66-41f2-a208-ab78bb6f18e1,2022-10-20,17:06:41,3545056362568964,Goddart Ungerer,gungererc@tamu.edu,VMJryFI,jcb,567,2025-07-25,15,6,31,164,193,Indonesia,Portugal,2023-06-02,9:32 AM,8039120829,73 Nova Plaza,Simpang,,Argentina,9166172551,474 Lunder Way,Apt 1026,São Paio de Gramaços,Coimbra,Russia,,453-590-7039
