C_type,C_num,CVV,e_date 
americanexpress,374283141546218,827,2026-11
mastercard,5534000727150587,679,2027-08
visa,4017951043341160,52,2027-06
americanexpress,343380634494746,291,2027-01
visa,4625736800046530,7620,2027-06
americanexpress,374288307065085,1800,2025-05
mastercard,5007667240549285,551,2026-04
mastercard,5246643621151885,11,2025-04
mastercard,5010122669996042,,2026-02
americanexpress,342626530560589,5,2025-06
americanexpress,374622504272880,342,2027-09
visa,4017954439733,,2027-08
americanexpress,374283539598797,33,2027-09
visa,4041379381320,1044,2026-01
mastercard,5002350401575101,614,2027-10
americanexpress,374283307605485,1770,2026-06
visa,4041372541511669,5355,2026-05
visa,4041599503704037,25,2026-03
visa,4041375573037,659,2027-03
americanexpress,372301207516644,1213,2026-08
mastercard,5048371172794693,406,2026-10
mastercard,5133961637564206,1168,2027-01
visa,4174312002012038,801,2026-03
americanexpress,372301834737712,8,2027-11
visa,4580202584485,644,2025-12
americanexpress,374283190672758,684,2025-06
visa,4041592281851,750,2027-11
americanexpress,372301329551222,1100,2026-04
americanexpress,374833690576980,3365,2025-05
mastercard,5108759175410258,43,2028-01
mastercard,5410713647555797,2533,2026-01
americanexpress,372301973109376,63,2025-07
mastercard,5007664349211289,6551,2026-05
americanexpress,341076178110159,935,2026-03
americanexpress,374622806155031,194,2025-06
americanexpress,374622114094286,1121,2025-05
visa,4402173420534,8,2026-10
mastercard,5100175232570794,2240,2025-07
mastercard,5010126168572881,55,2026-12
mastercard,5048371586219758,477,2026-04
americanexpress,374288290365146,160,2028-02
americanexpress,378407080460976,821,2025-06
mastercard,5100013816682471,,2025-09
mastercard,5587011411277228,55,2027-12
americanexpress,372301068867011,700,2027-06
mastercard,5100140004633337,79,2026-12
mastercard,5440028804167391,205,2026-07
mastercard,5100137427617798,74,2028-01
mastercard,5007665001713710,1525,2025-05
mastercard,5007661219750503,161,2027-06
americanexpress,337941918328104,0,2025-10
americanexpress,374283575059126,1361,2027-03
visa,4017959046582,3374,2026-03
visa,4041594216145,4359,2027-03
mastercard,5184155506392405,6100,2027-04
visa,4041599268182296,2317,2025-07
mastercard,5542571365782972,26,2026-05
visa,4017955950604916,,2028-01
americanexpress,337941621128189,3674,2026-10
americanexpress,337941412223405,692,2026-10
visa,4017954994088046,3703,2025-04
mastercard,5100145251470358,4900,2025-07
mastercard,5343808959472045,276,2026-01
mastercard,5010126891800625,203,2026-04
mastercard,5100135386341061,2126,2027-07
visa,4041597456190014,1266,2028-01
mastercard,5048379917196694,50,2027-12
mastercard,5048370479474694,2588,2025-03
americanexpress,372301777684996,19,2026-02
mastercard,5100133161841439,,2026-11
americanexpress,374622915417751,609,2025-11
visa,4017953018366651,1007,2026-07
visa,4017953089257,51,2027-03
americanexpress,372301770808857,10,2027-07
