1 ticket id,2 transaction id ,3 tran_date,4 tran_time,5 c_num ,6 name ,7 email ,8 password ,9 c_type ,10 cvv ,11 expiration ,12 section,13 row ,14 seat ,15 listed price ,16 sold price ,17 country1,18 country2,19 game date ,20 game time,21 stadium aid ,22 stadium address,23 city  ,24 province,25 country ,26 billing aid ,27 billing street,28 b_ad2,29 b_city ,30 b_province ,31 country,32,33
0260055778,671d5029-4061-457b-b35d-d5aa477dac64,2023-03-31,16:34:14,30446052427720,Dex Rizzello,drizzello1i@1und1.de,fPL9F96SVFcR,diners-club-carte-blanche,969,2025-05-13,16,86,40,258,291,France,Portugal,2023-07-20,4:04 AM,4300111278,30 Haas Terrace,Aulnay-sous-Bois,Île-de-France,South Korea,6746341062,5243 Larry Junction,Suite 39,Carvalheira,Viana do Castelo,China,93616 CEDEX,509-294-0180
4542653846,5aab5e58-d74f-4cf7-9e30-cca6e8f129bf,2023-05-17,10:33:37,3554742673063831,Polly Matzke,pmatzke2d@jimdo.com,4Px3iL,jcb,231,2027-06-30,23,21,65,384,85,United States,Sweden,2023-07-28,12:28 AM,3886517047,1 Continental Trail,Philadelphia,Pennsylvania,Portugal,5020774766,74 Schiller Plaza,6th Floor,Stockholm,Stockholm,China,19178,215-441-1108
4124174403,cc336f65-d350-426c-9db1-cafe3a4cda29,2023-05-14,9:35:02,374283000639039,Rosalia Krale,rkrale6c@i2i.jp,VAZDUbZ,americanexpress,923,2025-04-26,4,85,19,192,171,France,Portugal,2023-06-08,11:58 PM,4332054679,22945 Rutledge Place,Marseille,Provence-Alpes-Côte d'Azur,Poland,8942316700,20 Knutson Alley,1st Floor,Ourozinho,Viseu,Panama,13568 CEDEX 02,700-278-9138
2980181889,c82f80ce-f5c2-4f3c-bad6-6f2573572a44,2023-02-18,18:35:29,6333581649292323953,Pammy Edscer,pedscer9g@sun.com,5NKFEBM2pF2,switch,442,2025-05-02,13,83,100,279,255,France,United States,2023-06-28,11:13 PM,8688273111,362 Del Sol Park,La Rochelle,Poitou-Charentes,Democratic Republic of the Congo,2578562717,779 Sage Junction,Apt 1016,San Diego,California,Russia,17014 CEDEX 1,405-469-9453
9418364956,b11a3ae7-dd58-4a9c-b77f-b7207e1f7451,2022-10-30,1:46:44,3578744754471554,Timmy Wegner,twegnerat@shop-pro.jp,G0qTWqal9o,jcb,545,2026-12-03,22,32,87,203,282,United States,Guadeloupe,2023-06-29,2:27 AM,3828333176,032 Susan Trail,Saint Louis,Missouri,France,0472356569,5 Mariners Cove Terrace,PO Box 72457,Jarry,Guadeloupe,China,63150,314-317-6374
0962712736,c16fd351-a046-46e4-9951-70ccf84e278f,2022-10-25,21:03:35,675973226362366778,Sabra Chappelow,schappelowd7@scientificamerican.com,o1ICWsOb,switch,377,2026-07-02,6,30,97,256,249,Mexico,Netherlands,2023-06-19,8:37 AM,5412898149,9994 Upham Drive,Progreso,Chihuahua,Brazil,4729991699,9 Holmberg Road,PO Box 53792,Almere Haven,Provincie Flevoland,United States,31210,507-651-9144
2699283150,b7e5cc47-8bef-43ec-81d2-81f9d3214d19,2022-12-04,17:19:13,3573194402236089,Trumann Broadley,tbroadleydh@rambler.ru,BEJdbDQ,jcb,744,2025-04-15,9,1,95,209,184,France,Sweden,2023-08-04,6:51 PM,9620273540,67 Boyd Road,Laon,Picardie,Bosnia and Herzegovina,9691448483,5451 Village Green Junction,Suite 45,Storvreta,Uppsala,United States,02019 CEDEX,493-337-1743
7277473280,17628a47-0534-4508-a0e1-5fc787108fde,2022-12-08,23:34:27,3551737730775503,Bekki Jelliman,bjellimanfb@globo.com,UAhH1avBa4,jcb,368,2026-08-31,12,68,90,292,167,Sweden,Canada,2023-07-14,12:11 AM,7608900458,1090 American Road,Helsingborg,Skåne,Indonesia,4434474693,53727 Golf Plaza,13th Floor,Bancroft,Ontario,Philippines,250 06,244-841-4431
1121442528,0c3ffde3-2f65-4b18-a5ed-dd9902bffa31,2022-10-02,0:09:51,3585257477272549,Rubin Blatcher,rblatcherfx@sakura.ne.jp,PSWXtbnTJ3L,jcb,116,2025-06-20,10,15,42,326,134,Malaysia,France,2023-08-05,8:29 PM,3520850591,74 Erie Park,Kuantan,Pahang,Sweden,7003214318,0812 Farmco Crossing,9th Floor,Nîmes,Languedoc-Roussillon,Sweden,25610,847-241-6341
5498245947,8d36319d-2a4b-4864-a372-ef9e0227ecd0,2022-11-30,14:46:32,5100174579141947,Sheffy Corradino,scorradinofy@indiegogo.com,WKRUIzItMmjc,mastercard,394,2026-10-20,20,37,13,376,158,Portugal,Canada,2023-07-26,7:59 AM,8626512082,947 Springview Center,Meirinhas,Leiria,Sudan,8840082042,39190 East Alley,PO Box 45053,Kitchener,Ontario,Japan,3105-222,366-535-2701
1878268902,b12e7baf-fc61-4a91-965c-35edb2ae1bc4,2022-10-24,6:53:25,5492441330744251,Reina Morrel,rmorrelh2@ftc.gov,JgySZ2F,diners-club-us-ca,311,2027-05-07,2,18,86,400,131,Portugal,France,2023-07-26,6:53 PM,7705644088,56 Badeau Circle,Vagos,Aveiro,Belarus,7861989852,0836 Corscot Parkway,Room 1970,Digne-les-Bains,Provence-Alpes-Côte d'Azur,France,3840-386,738-156-8193
7820110910,4b50772d-9323-4345-9738-b4fe996190e5,2022-12-22,13:00:12,676246887209371633,Lucina Cosslett,lcossletthm@uiuc.edu,z0QK7nEcJ,maestro,453,2025-10-12,22,7,90,341,166,Norway,Sweden,2023-08-01,12:11 PM,0404540384,4 Montana Place,Oslo,Oslo,Czech Republic,9668556313,6 Beilfuss Avenue,Suite 63,Karlskrona,Blekinge,Greece,0487,652-402-5204
8882933717,bf014b62-c430-4f5d-81f4-d74e20e31241,2023-02-09,5:59:29,3564246181368714,Augustina Corsar,acorsarih@theguardian.com,Rm3gK0jloovp,jcb,677,2025-04-12,11,38,99,231,134,Mexico,United States,2023-08-02,12:39 PM,7486090945,023 Arizona Crossing,Fovissste,Puebla,China,4549542861,90198 Maple Wood Crossing,Suite 38,Hamilton,Ohio,Palestinian Territory,75483,919-667-5498
